Timestamp,Do you acknowledge the agreement above,Are you an undergrad student at UC San Diego,How many academic quarters have you studied at UCSD? (Summer sessions and WI21 excluded),What is your average study time during the pandemic for each class per week (numbers in hours)?,What is your average study time before the pandemic for each class per week (numbers in hours)? FA19 and WI20 data will be preferred. Please put N/A if enter after FA20.,Do you think remote learning makes you spend more time on studying?,How do you rank your overall remote learning experience after pandemic (since SP20)?,How do you think the online learning affect your academic performance?,What was your average GPA before the pandemic? Please put N/A if enter after FA20.,What is you average GPA during the pandemic?,What is your expected GPA in WI21?
2/10/2021 20:56:57,Yes,YES,4,7,4,4,3,4,4,3.9,4
2/10/2021 20:57:26,Yes,YES,1,7,N/A,3,4,4,N/A,4,4
2/10/2021 20:58:57,Yes,YES,8,6,8,1,3,2,3.8,3.9,3.92
2/10/2021 21:04:38,Yes,NO,12,5,12,3,2,2,2.5,2,0
2/10/2021 21:08:05,Yes,YES,1,18,n/a,2,4,4,N/A,3.466,3.8
2/10/2021 21:18:33,Yes,YES,1,8,N/A,4,2,2,N/A,4,3.75
2/10/2021 21:19:36,Yes,YES,7,1,1,4,4,5,3.785,4,4
2/10/2021 21:20:19,Yes,YES,1,12hrs,N/A,3,4,5,N/A,3.92,3.8+
2/10/2021 21:22:25,Yes,YES,2,3-4,N/A,1,2,4, NA,3.2,4
2/10/2021 21:23:53,Yes,YES,2,6,n/a,5,2,2,,,
2/10/2021 21:24:08,Yes,YES,6,7,8,2,3,2,3.6,3.7,3.7
2/10/2021 21:45:38,Yes,YES,7,4,3,3,1,1,3.8,3.8,3.8
2/10/2021 21:53:37,Yes,YES,10,8,6,5,3,3,3.84,3.91,3.92
2/10/2021 22:05:00,Yes,YES,7,2.5,4,1,3,3,3.8,3.8,4
2/10/2021 22:11:21,Yes,YES,7,10,8,4,2,2,,,
2/10/2021 22:11:41,Yes,YES,1,10,6,4,2,2,3.97,4,3.5
2/10/2021 22:18:37,Yes,YES,7,40,30,4,3,3,3.3,3.65,3.67
2/10/2021 22:19:17,No,YES,16,3hours,N/A,5,1,1,3.9,3.6,4
2/10/2021 23:37:15,Yes,YES,1,3-5,4-6,3,2,2,N/A,3.5,3.6
2/11/2021 10:50:15,Yes,YES,2,2,1,3,3,3,NA,3.93,4
2/11/2021 11:05:07,Yes,YES,1,20,20,3,5,5,,3.8,4
2/11/2021 12:22:08,Yes,YES,10,10,7,5,1,1,3.38,3.8,3.7
2/11/2021 15:02:29,Yes,YES,1,6.5,7,3,5,3,3.6,3.6,4
2/11/2021 17:02:21,Yes,YES,4,7,6,3,3,3,4,4,4
2/11/2021 17:23:03,Yes,YES,14,6-8,10-12,1,2,1,3,3.5,3.5
2/11/2021 17:28:01,Yes,YES,15,6,4,4,3,1,3.1,3.3,3.4
2/11/2021 18:12:03,Yes,YES,7,10,6,5,3,3,3.3,3,3.1
2/11/2021 18:43:50,Yes,YES,10.5,30,20,4,3,4,3.1,3.5,3.7
2/11/2021 18:58:14,Yes,YES,1,20 hours,30,2,2,1,N/A,3.09,3.3
2/11/2021 19:07:28,Yes,YES,1,8,n/a,5,1,2,n/a,3.841,3.9
2/11/2021 19:21:22,Yes,YES,4,40,30,4,3,3,4,4,3.7
2/11/2021 19:21:51,Yes,YES,1,30,N/A,4,2,1,N/A,3.8,3.8
2/11/2021 19:59:51,Yes,YES,1,5,N/A,2,2,3,N/A,3.75,4
2/11/2021 23:08:19,Yes,YES,2,5.5,N/A,4,4,3,N/A,4,4
2/11/2021 23:12:04,Yes,YES,4,10,8,4,2,3,3.85,3.93,3.8
2/11/2021 23:44:10,Yes,YES,7,10,12,5,2,1,3.6,3.7,3.8
2/12/2021 0:22:51,Yes,YES,2,35,35,3,1,1,3.7,3.6,3
2/12/2021 10:51:08,Yes,YES,One,3,10,1,1,1,4,3.2,4
2/12/2021 12:24:31,Yes,YES,1,6.5,7,3,5,3,,,4
2/12/2021 13:44:49,Yes,YES,2,8,N/A,2,5,2,N/A,3.5,3.8
2/12/2021 13:56:12,Yes,YES,1,5,N/A,5,5,3,N/A,3.75,4
2/13/2021 4:48:44,Yes,YES,4,80,60,4,3,3,,,
